No,Nama_Menu,Kategori,Kalori_(kcal),Sumber_Karbohidrat,Bahan_Utama_/_Pendamping,Deskripsi_Singkat,karbo_list,karbo_count,corpus,kalori_normalized
12,chicken patty crispy,ayam,390,kentang nasi merah nasi putih,steamed vege sunny egg,patty ayam renyah disajikan dengan telur mata sapi,"['nasi putih', 'kentang', 'nasi merah']",3,chicken patty crispy ayam kentang nasi merah nasi putih steamed vege sunny egg patty ayam renyah disajikan dengan telur mata sapi,0.33333333333333215
13,ayam saus wijen,ayam,400,kentang nasi merah nasi putih,tumis sayur snack,ayam tumis dengan saus wijen rasa gurih,"['nasi putih', 'kentang', 'nasi merah']",3,ayam saus wijen ayam kentang nasi merah nasi putih tumis sayur snack ayam tumis dengan saus wijen rasa gurih,1.0
14,cah tahu sapi,sapi,395,jagung nasi merah nasi putih,steamed vege snack,tumis tahu dan daging sapi cincang protein seimbang,"['nasi putih', 'jagung', 'nasi merah']",3,cah tahu sapi sapi jagung nasi merah nasi putih steamed vege snack tumis tahu dan daging sapi cincang protein seimbang,0.6666666666666643
15,soto bandung,sapi,400,kentang nasi merah nasi putih,steamed vege boiled egg snack,soto daging sapi kuah bening khas bandung,"['nasi putih', 'kentang', 'nasi merah']",3,soto bandung sapi kentang nasi merah nasi putih steamed vege boiled egg snack soto daging sapi kuah bening khas bandung,1.0
16,chicken herbs grill egg tortila,ayam,395,jagung nasi merah nasi putih,salad sayur,ayam panggang bumbu herbal dengan tortila telur,"['nasi putih', 'jagung', 'nasi merah']",3,chicken herbs grill egg tortila ayam jagung nasi merah nasi putih salad sayur ayam panggang bumbu herbal dengan tortila telur,0.6666666666666643
17,chicken blackpepper,ayam,400,jagung nasi merah nasi putih,tumis sayur snack,ayam lada hitam tumis sayuran rasa pedas hangat,"['nasi putih', 'jagung', 'nasi merah']",3,chicken blackpepper ayam jagung nasi merah nasi putih tumis sayur snack ayam lada hitam tumis sayuran rasa pedas hangat,1.0
18,dori popcorn,ikan,395,,pasta creamy sauce steamed vege,potongan dori renyah disajikan dengan pasta saus krim,[],0,dori popcorn ikan  pasta creamy sauce steamed vege potongan dori renyah disajikan dengan pasta saus krim,0.6666666666666643
19,soto daging spesial,sapi,400,kentang nasi merah nasi putih,bihun tauge boiled egg,soto daging kuah kaya rempah lauk lengkap,"['nasi putih', 'kentang', 'nasi merah']",3,soto daging spesial sapi kentang nasi merah nasi putih bihun tauge boiled egg soto daging kuah kaya rempah lauk lengkap,1.0
20,cah buncis ayam,ayam,395,jagung nasi merah nasi putih,tempe snack,tumis buncis dengan ayam cincang lauk tempe,"['nasi putih', 'jagung', 'nasi merah']",3,cah buncis ayam ayam jagung nasi merah nasi putih tempe snack tumis buncis dengan ayam cincang lauk tempe,0.6666666666666643
21,rolade ayam,ayam,400,kentang nasi merah nasi putih,sayur sop snack,rolade ayam kukus disajikan dengan sayur sop,"['nasi putih', 'kentang', 'nasi merah']",3,rolade ayam ayam kentang nasi merah nasi putih sayur sop snack rolade ayam kukus disajikan dengan sayur sop,1.0
22,chicken grill sambal matah,ayam,395,jagung ubi nasi merah nasi putih,steamed vege tofu,ayam panggang disajikan dengan sambal matah segar,"['nasi putih', 'ubi', 'jagung', 'nasi merah']",4,chicken grill sambal matah ayam jagung ubi nasi merah nasi putih steamed vege tofu ayam panggang disajikan dengan sambal matah segar,0.6666666666666643
23,dori katsu balado,ikan,400,kentang nasi merah nasi putih,tumis sayur snack,katsu ikan dori bumbu balado pedas tidak berminyak,"['nasi putih', 'kentang', 'nasi merah']",3,dori katsu balado ikan kentang nasi merah nasi putih tumis sayur snack katsu ikan dori bumbu balado pedas tidak berminyak,1.0
24,tahu bakso kuah,sapi,395,,steamed vege bihun snack,tahu bakso sapi kuah kaldu segar tanpa santan,[],0,tahu bakso kuah sapi  steamed vege bihun snack tahu bakso sapi kuah kaldu segar tanpa santan,0.6666666666666643
25,chicken woku,ayam,400,kentang nasi merah nasi putih,tumis sayur tofu,ayam bumbu woku khas manado pedas dan wangi,"['nasi putih', 'kentang', 'nasi merah']",3,chicken woku ayam kentang nasi merah nasi putih tumis sayur tofu ayam bumbu woku khas manado pedas dan wangi,1.0
26,beef burger,sapi,395,,salad sayur snack,burger patty sapi disajikan tanpa roti dengan salad,[],0,beef burger sapi  salad sayur snack burger patty sapi disajikan tanpa roti dengan salad,0.6666666666666643
27,cah sapi buncis,sapi,400,jagung nasi merah nasi putih,sunny egg snack,tumis buncis dan daging sapi cincang lauk telur,"['nasi putih', 'jagung', 'nasi merah']",3,cah sapi buncis sapi jagung nasi merah nasi putih sunny egg snack tumis buncis dan daging sapi cincang lauk telur,1.0
28,ayam saus mentega,ayam,395,jagung nasi merah nasi putih,steamed vege snack,ayam tumis saus mentega klasik gurih,"['nasi putih', 'jagung', 'nasi merah']",3,ayam saus mentega ayam jagung nasi merah nasi putih steamed vege snack ayam tumis saus mentega klasik gurih,0.6666666666666643
29,chicken honey,ayam,400,kentang nasi merah nasi putih,cah pakcoy jamur tofu,ayam panggang saus madu rasa manis gurih,"['nasi putih', 'kentang', 'nasi merah']",3,chicken honey ayam kentang nasi merah nasi putih cah pakcoy jamur tofu ayam panggang saus madu rasa manis gurih,1.0
30,fish stick saus korea,ikan,395,jagung nasi merah nasi putih,steamed vege snack,stik ikan renyah saus korea gochujang pedas manis,"['nasi putih', 'jagung', 'nasi merah']",3,fish stick saus korea ikan jagung nasi merah nasi putih steamed vege snack stik ikan renyah saus korea gochujang pedas manis,0.6666666666666643
31,bola daging teriyaki,sapi,400,kentang nasi merah nasi putih,sayur sop snack,bola daging sapi saus teriyaki dengan sayur sop,"['nasi putih', 'kentang', 'nasi merah']",3,bola daging teriyaki sapi kentang nasi merah nasi putih sayur sop snack bola daging sapi saus teriyaki dengan sayur sop,1.0
32,chicken crispy saus barbeque,ayam,395,kentang ubi nasi merah nasi putih,steamed vege,ayam renyah saus barbeque buatan sendiri,"['nasi putih', 'ubi', 'kentang', 'nasi merah']",4,chicken crispy saus barbeque ayam kentang ubi nasi merah nasi putih steamed vege ayam renyah saus barbeque buatan sendiri,0.6666666666666643
33,ayam maranggi,ayam,400,kentang nasi merah nasi putih,tumis sayur tempe,sate ayam maranggi tanpa tusuk bumbu rempah,"['nasi putih', 'kentang', 'nasi merah']",3,ayam maranggi ayam kentang nasi merah nasi putih tumis sayur tempe sate ayam maranggi tanpa tusuk bumbu rempah,1.0
34,bola ayam saus asam pedas,ayam,400,jagung nasi merah nasi putih,steamed vege snack,bola ayam saus asam pedas segar tumis sayur,"['nasi putih', 'jagung', 'nasi merah']",3,bola ayam saus asam pedas ayam jagung nasi merah nasi putih steamed vege snack bola ayam saus asam pedas segar tumis sayur,1.0
35,dori katsu,ikan,395,jagung nasi merah nasi putih,tumis sayur salad sayur,katsu ikan dori renyah pilihan tumis atau salad,"['nasi putih', 'jagung', 'nasi merah']",3,dori katsu ikan jagung nasi merah nasi putih tumis sayur salad sayur katsu ikan dori renyah pilihan tumis atau salad,0.6666666666666643
36,chicken tomyum,ayam,395,kentang nasi merah nasi putih,steamed vege tofu,ayam kuah tomyum rasa asam pedas tanpa santan,"['nasi putih', 'kentang', 'nasi merah']",3,chicken tomyum ayam kentang nasi merah nasi putih steamed vege tofu ayam kuah tomyum rasa asam pedas tanpa santan,0.6666666666666643
37,dori sambal ijo,ikan,400,kentang nasi merah nasi putih,tumis sayur tofu,ikan dori bumbu sambal ijo pedas nikmat,"['nasi putih', 'kentang', 'nasi merah']",3,dori sambal ijo ikan kentang nasi merah nasi putih tumis sayur tofu ikan dori bumbu sambal ijo pedas nikmat,1.0
38,chicken salted egg,ayam,400,jagung nasi merah nasi putih,steamed vege snack,ayam saus telur asin gurih rendah minyak,"['nasi putih', 'jagung', 'nasi merah']",3,chicken salted egg ayam jagung nasi merah nasi putih steamed vege snack ayam saus telur asin gurih rendah minyak,1.0
39,soto bandung,sapi,390,kentang nasi merah nasi putih,steamed vege boiled egg snack,soto daging khas bandung kuah bening lobak,"['nasi putih', 'kentang', 'nasi merah']",3,soto bandung sapi kentang nasi merah nasi putih steamed vege boiled egg snack soto daging khas bandung kuah bening lobak,0.33333333333333215
40,cah brokoli ayam,ayam,395,jagung nasi merah nasi putih,sunny egg tofu,tumis brokoli segar ayam cincang lauk telur,"['nasi putih', 'jagung', 'nasi merah']",3,cah brokoli ayam ayam jagung nasi merah nasi putih sunny egg tofu tumis brokoli segar ayam cincang lauk telur,0.6666666666666643
41,ayam saus wijen,ayam,395,jagung nasi merah nasi putih,tumis sayur snack,ayam tumis saus wijen sangrai wangi dan gurih,"['nasi putih', 'jagung', 'nasi merah']",3,ayam saus wijen ayam jagung nasi merah nasi putih tumis sayur snack ayam tumis saus wijen sangrai wangi dan gurih,0.6666666666666643
42,beef patty bbq,sapi,395,ubi kentang nasi merah nasi putih,steamed vege salad sayur,patty sapi panggang saus barbeque tanpa roti,"['nasi putih', 'ubi', 'kentang', 'nasi merah']",4,beef patty bbq sapi ubi kentang nasi merah nasi putih steamed vege salad sayur patty sapi panggang saus barbeque tanpa roti,0.6666666666666643
43,ayam balado,ayam,385,jagung nasi merah nasi putih,sayur bayam tempe,ayam bumbu balado tumis sayur bayam lauk tempe,"['nasi putih', 'jagung', 'nasi merah']",3,ayam balado ayam jagung nasi merah nasi putih sayur bayam tempe ayam bumbu balado tumis sayur bayam lauk tempe,0.0
44,dori katsu pasta aglio eolio,ikan,400,,steamed vege,katsu ikan dori disajikan dengan pasta aglio eolio,[],0,dori katsu pasta aglio eolio ikan  steamed vege katsu ikan dori disajikan dengan pasta aglio eolio,1.0
45,chicken ball woku,ayam,390,kentang nasi merah nasi putih,tumis sayur tofu,bola ayam bumbu woku pedas kemangi tumis sayur,"['nasi putih', 'kentang', 'nasi merah']",3,chicken ball woku ayam kentang nasi merah nasi putih tumis sayur tofu bola ayam bumbu woku pedas kemangi tumis sayur,0.33333333333333215
SII,egg tortila baked chicken honey,ayam,397,jagung,steamed vege,tortila telur ayam panggang saus madu jagung rebus,['jagung'],1,egg tortila baked chicken honey ayam jagung steamed vege tortila telur ayam panggang saus madu jagung rebus,0.7999999999999972
47,soto betawi,sapi,400,kentang nasi merah nasi putih,pilihan sapi ayam steamed vege boiled egg,soto betawi kuah bening tanpa santan kaya rempah,"['nasi putih', 'kentang', 'nasi merah']",3,soto betawi sapi kentang nasi merah nasi putih pilihan sapi ayam steamed vege boiled egg soto betawi kuah bening tanpa santan kaya rempah,1.0
48,ayam saus mentega,ayam,400,jagung nasi merah nasi putih,steamed vege tofu,ayam tumis saus mentega lauk tahu kukus,"['nasi putih', 'jagung', 'nasi merah']",3,ayam saus mentega ayam jagung nasi merah nasi putih steamed vege tofu ayam tumis saus mentega lauk tahu kukus,1.0
49,ayam serundeng,ayam,395,jagung nasi merah nasi putih,tumis sayur snack,ayam tabur serundeng kelapa gurih tumis sayur,"['nasi putih', 'jagung', 'nasi merah']",3,ayam serundeng ayam jagung nasi merah nasi putih tumis sayur snack ayam tabur serundeng kelapa gurih tumis sayur,0.6666666666666643
50,pangsit ayam yamin yahun,ayam,395,,pakcoy snack,pangsit ayam rebus mie yamin yahun sehat,[],0,pangsit ayam yamin yahun ayam  pakcoy snack pangsit ayam rebus mie yamin yahun sehat,0.6666666666666643
51,creamy chicken mushroom,ayam,395,kentang nasi merah nasi putih,tumis sayur sunny egg,ayam jamur saus krim rendah lemak lauk telur,"['nasi putih', 'kentang', 'nasi merah']",3,creamy chicken mushroom ayam kentang nasi merah nasi putih tumis sayur sunny egg ayam jamur saus krim rendah lemak lauk telur,0.6666666666666643
52,buncis sapi lada hitam,sapi,395,ubi jagung nasi merah nasi putih,tofu snack,tumis buncis dan sapi cincang saus lada hitam,"['nasi putih', 'ubi', 'jagung', 'nasi merah']",4,buncis sapi lada hitam sapi ubi jagung nasi merah nasi putih tofu snack tumis buncis dan sapi cincang saus lada hitam,0.6666666666666643
53,ayam bakar,ayam,390,jagung nasi merah nasi putih,tumis sayur tempe,ayam bakar bumbu kecap tumis sayur lauk tempe,"['nasi putih', 'jagung', 'nasi merah']",3,ayam bakar ayam jagung nasi merah nasi putih tumis sayur tempe ayam bakar bumbu kecap tumis sayur lauk tempe,0.33333333333333215
54,dori salted egg,ikan,390,kentang ubi nasi merah nasi putih,steamed vege snack,ikan dori saus telur asin gurih sayuran kukus,"['nasi putih', 'ubi', 'kentang', 'nasi merah']",4,dori salted egg ikan kentang ubi nasi merah nasi putih steamed vege snack ikan dori saus telur asin gurih sayuran kukus,0.33333333333333215
55,dori sambal ijo,ikan,395,kentang nasi merah nasi putih,clear soup tofu,ikan dori bumbu sambal ijo disajikan sop lauk tahu,"['nasi putih', 'kentang', 'nasi merah']",3,dori sambal ijo ikan kentang nasi merah nasi putih clear soup tofu ikan dori bumbu sambal ijo disajikan sop lauk tahu,0.6666666666666643
56,chicken patty crispy,ayam,390,jagung nasi merah nasi putih,salad sayur,patty ayam renyah disajikan dengan salad sayur,"['nasi putih', 'jagung', 'nasi merah']",3,chicken patty crispy ayam jagung nasi merah nasi putih salad sayur patty ayam renyah disajikan dengan salad sayur,0.33333333333333215
57,chicken tomyum,ayam,395,kentang nasi merah nasi putih,steamed vege boiled egg,ayam kuah tomyum asam pedas segar lauk telur rebus,"['nasi putih', 'kentang', 'nasi merah']",3,chicken tomyum ayam kentang nasi merah nasi putih steamed vege boiled egg ayam kuah tomyum asam pedas segar lauk telur rebus,0.6666666666666643
58,chicken bbq grill,ayam,390,jagung nasi merah nasi putih,steamed vege snack,ayam panggang saus barbeque sayuran kukus,"['nasi putih', 'jagung', 'nasi merah']",3,chicken bbq grill ayam jagung nasi merah nasi putih steamed vege snack ayam panggang saus barbeque sayuran kukus,0.33333333333333215
59,dori sambal matah,ikan,395,jagung nasi merah nasi putih,tumis sayur scramble egg,ikan dori sambal matah segar lauk telur orak arik,"['nasi putih', 'jagung', 'nasi merah']",3,dori sambal matah ikan jagung nasi merah nasi putih tumis sayur scramble egg ikan dori sambal matah segar lauk telur orak arik,0.6666666666666643
60,longbun with chicken blackpepper,ayam,400,,salad sayur snack,roti gandum ayam lada hitam disajikan dengan salad,[],0,longbun with chicken blackpepper ayam  salad sayur snack roti gandum ayam lada hitam disajikan dengan salad,1.0
61,soto ayam spesial,ayam,395,bihun kentang nasi merah nasi putih,sunny egg kol tauge,soto ayam kuah kuning lauk lengkap tanpa santan,"['nasi putih', 'bihun,', 'kentang', 'nasi merah']",4,soto ayam spesial ayam bihun kentang nasi merah nasi putih sunny egg kol tauge soto ayam kuah kuning lauk lengkap tanpa santan,0.6666666666666643
62,bistik sapi,sapi,395,jagung nasi merah nasi putih,steamed vege snack,bistik daging sapi empuk saus gurih sayur kukus,"['nasi putih', 'jagung', 'nasi merah']",3,bistik sapi sapi jagung nasi merah nasi putih steamed vege snack bistik daging sapi empuk saus gurih sayur kukus,0.6666666666666643
63,sapi cabe garam,sapi,390,jagung nasi merah nasi putih,tumis sayur tempe,daging sapi tumis cabe garam pedas gurih lauk tempe,"['nasi putih', 'jagung', 'nasi merah']",3,sapi cabe garam sapi jagung nasi merah nasi putih tumis sayur tempe daging sapi tumis cabe garam pedas gurih lauk tempe,0.33333333333333215
64,bola ayam sambal taichan,ayam,395,kentang ubi nasi merah nasi putih,steamed vege snack,bola ayam bakar sambal taichan pedas asam,"['nasi putih', 'ubi', 'kentang', 'nasi merah']",4,bola ayam sambal taichan ayam kentang ubi nasi merah nasi putih steamed vege snack bola ayam bakar sambal taichan pedas asam,0.6666666666666643
65,chicken rolade,ayam,395,kentang nasi merah nasi putih,tumis sayur snack,rolade ayam kukus disajikan tumis sayuran,"['nasi putih', 'kentang', 'nasi merah']",3,chicken rolade ayam kentang nasi merah nasi putih tumis sayur snack rolade ayam kukus disajikan tumis sayuran,0.6666666666666643
66,dori katsu saus asam manis,ikan,390,jagung nasi merah nasi putih,sayur sop tofu,katsu ikan dori saus asam manis lauk sayur sop,"['nasi putih', 'jagung', 'nasi merah']",3,dori katsu saus asam manis ikan jagung nasi merah nasi putih sayur sop tofu katsu ikan dori saus asam manis lauk sayur sop,0.33333333333333215
67,baked chicken honey,ayam,390,kentang nasi merah nasi putih,tumis sayur snack,ayam panggang madu bumbu meresap tumis sayur,"['nasi putih', 'kentang', 'nasi merah']",3,baked chicken honey ayam kentang nasi merah nasi putih tumis sayur snack ayam panggang madu bumbu meresap tumis sayur,0.33333333333333215
68,dori stick,ikan,400,,pasta aglio e olio steamed vege snack,stik ikan dori pasta aglio eolio sayuran kukus,[],0,dori stick ikan  pasta aglio e olio steamed vege snack stik ikan dori pasta aglio eolio sayuran kukus,1.0
69,rawon surabaya sapi ayam,lainnya,395,kentang nasi merah nasi putih,boiled egg tempe,rawon kuah rempah pilihan sapi atau ayam,"['nasi putih', 'kentang', 'nasi merah']",3,rawon surabaya sapi ayam lainnya kentang nasi merah nasi putih boiled egg tempe rawon kuah rempah pilihan sapi atau ayam,0.6666666666666643
70,chicken ball blackpepper,ayam,395,jagung nasi merah nasi putih,steamed vege tofu,bola ayam saus lada hitam lauk tahu kukus,"['nasi putih', 'jagung', 'nasi merah']",3,chicken ball blackpepper ayam jagung nasi merah nasi putih steamed vege tofu bola ayam saus lada hitam lauk tahu kukus,0.6666666666666643
71,ayam maranggi,ayam,400,jagung nasi merah nasi putih,tumis sayur tempe,ayam bumbu maranggi tumis sayur lauk tempe,"['nasi putih', 'jagung', 'nasi merah']",3,ayam maranggi ayam jagung nasi merah nasi putih tumis sayur tempe ayam bumbu maranggi tumis sayur lauk tempe,1.0
72,beef patty kastu,sapi,395,kentang ubi nasi merah nasi putih,steamed vege sauce,patty sapi panggang saus kastu sayuran kukus,"['nasi putih', 'ubi', 'kentang', 'nasi merah']",4,beef patty kastu sapi kentang ubi nasi merah nasi putih steamed vege sauce patty sapi panggang saus kastu sayuran kukus,0.6666666666666643
73,dori cabai garam,ikan,395,jagung nasi merah nasi putih,tumis sayur snack,ikan dori tumis cabai garam pedas gurih,"['nasi putih', 'jagung', 'nasi merah']",3,dori cabai garam ikan jagung nasi merah nasi putih tumis sayur snack ikan dori tumis cabai garam pedas gurih,0.6666666666666643
74,chicken grill sambal matah,ayam,390,kentang ubi nasi merah nasi putih,steamed vege snack,ayam panggang sambal matah segar sayur kukus,"['nasi putih', 'ubi', 'kentang', 'nasi merah']",4,chicken grill sambal matah ayam kentang ubi nasi merah nasi putih steamed vege snack ayam panggang sambal matah segar sayur kukus,0.33333333333333215
75,ayam suwir teriyaki,ayam,400,kentang nasi merah nasi putih,tumis sayur snack,ayam suwir saus teriyaki tumis sayuran,"['nasi putih', 'kentang', 'nasi merah']",3,ayam suwir teriyaki ayam kentang nasi merah nasi putih tumis sayur snack ayam suwir saus teriyaki tumis sayuran,1.0
76,scotch egg,lainnya,395,jagung,salad sayur,telur rebus dibalut daging disajikan dengan salad,['jagung'],1,scotch egg lainnya jagung salad sayur telur rebus dibalut daging disajikan dengan salad,0.6666666666666643
77,ayam bumbu kari,ayam,400,kentang nasi merah nasi putih,tumis sayur scramble egg,ayam bumbu kari tanpa santan lauk telur orak arik,"['nasi putih', 'kentang', 'nasi merah']",3,ayam bumbu kari ayam kentang nasi merah nasi putih tumis sayur scramble egg ayam bumbu kari tanpa santan lauk telur orak arik,1.0
78,beef tofu teriyaki,sapi,400,jagung nasi merah nasi putih,steamed vege,daging sapi dan tahu saus teriyaki sayur kukus,"['nasi putih', 'jagung', 'nasi merah']",3,beef tofu teriyaki sapi jagung nasi merah nasi putih steamed vege daging sapi dan tahu saus teriyaki sayur kukus,1.0
79,dori oat saus asam manis,ikan,395,jagung nasi merah nasi putih,tumis sayur snack,ikan dori balut oat saus asam manis tumis sayur,"['nasi putih', 'jagung', 'nasi merah']",3,dori oat saus asam manis ikan jagung nasi merah nasi putih tumis sayur snack ikan dori balut oat saus asam manis tumis sayur,0.6666666666666643
80,ayam bakar padang,ayam,395,kentang ubi nasi merah nasi putih,steamed vege tempe,ayam bakar bumbu padang tanpa santan lauk tempe,"['nasi putih', 'ubi', 'kentang', 'nasi merah']",4,ayam bakar padang ayam kentang ubi nasi merah nasi putih steamed vege tempe ayam bakar bumbu padang tanpa santan lauk tempe,0.6666666666666643
81,ayam maranggi,ayam,400,kentang nasi merah nasi putih,tumis sayur sunny egg,ayam bumbu maranggi tumis sayur lauk telur,"['nasi putih', 'kentang', 'nasi merah']",3,ayam maranggi ayam kentang nasi merah nasi putih tumis sayur sunny egg ayam bumbu maranggi tumis sayur lauk telur,1.0
82,bola daging saus lada hitam,sapi,395,jagung nasi merah nasi putih,salad sayur,bola daging sapi saus lada hitam disajikan salad,"['nasi putih', 'jagung', 'nasi merah']",3,bola daging saus lada hitam sapi jagung nasi merah nasi putih salad sayur bola daging sapi saus lada hitam disajikan salad,0.6666666666666643
83,ayam balado,ayam,390,jagung nasi merah nasi putih,sayur bayam wortel labu siam snack,ayam bumbu balado tumis sayur bayam wortel labu,"['nasi putih', 'jagung', 'nasi merah']",3,ayam balado ayam jagung nasi merah nasi putih sayur bayam wortel labu siam snack ayam bumbu balado tumis sayur bayam wortel labu,0.33333333333333215
84,fish stick saus wijen,ikan,395,ubi kentang nasi merah nasi putih,steamed vege puding buah,stik ikan saus wijen sayur kukus hidangan penutup,"['nasi putih', 'ubi', 'kentang', 'nasi merah']",4,fish stick saus wijen ikan ubi kentang nasi merah nasi putih steamed vege puding buah stik ikan saus wijen sayur kukus hidangan penutup,0.6666666666666643
85,soto bandung,sapi,390,kentang nasi merah nasi putih,steamed vege boiled egg snack,soto daging kuah bening lobak lauk telur rebus,"['nasi putih', 'kentang', 'nasi merah']",3,soto bandung sapi kentang nasi merah nasi putih steamed vege boiled egg snack soto daging kuah bening lobak lauk telur rebus,0.33333333333333215
86,chicken katsu,ayam,390,jagung ubi nasi merah nasi putih,salad sayur,katsu ayam panggang rendah minyak disajikan salad,"['nasi putih', 'ubi', 'jagung', 'nasi merah']",4,chicken katsu ayam jagung ubi nasi merah nasi putih salad sayur katsu ayam panggang rendah minyak disajikan salad,0.33333333333333215
87,ayam serundeng,ayam,400,jagung nasi merah nasi putih,tumis sayur tahu tempe,ayam tabur serundeng tumis sayur lauk tahu tempe,"['nasi putih', 'jagung', 'nasi merah']",3,ayam serundeng ayam jagung nasi merah nasi putih tumis sayur tahu tempe ayam tabur serundeng tumis sayur lauk tahu tempe,1.0
88,chicken teriyaki grill,ayam,400,kentang nasi merah nasi putih,steamed vege scramble egg,ayam panggang teriyaki lauk telur orak arik,"['nasi putih', 'kentang', 'nasi merah']",3,chicken teriyaki grill ayam kentang nasi merah nasi putih steamed vege scramble egg ayam panggang teriyaki lauk telur orak arik,1.0
89,ikan acar kuning,ikan,395,kentang nasi merah nasi putih,perkedel tahu snack,ikan bumbu acar kuning segar lauk perkedel tahu,"['nasi putih', 'kentang', 'nasi merah']",3,ikan acar kuning ikan kentang nasi merah nasi putih perkedel tahu snack ikan bumbu acar kuning segar lauk perkedel tahu,0.6666666666666643
90,ayam bakar bacem,ayam,395,jagung ubi nasi merah nasi putih,steamed vege tempe bacem,ayam bakar bumbu bacem manis gurih lauk tempe,"['nasi putih', 'ubi', 'jagung', 'nasi merah']",4,ayam bakar bacem ayam jagung ubi nasi merah nasi putih steamed vege tempe bacem ayam bakar bumbu bacem manis gurih lauk tempe,0.6666666666666643
91,ayam cabe ijo,ayam,400,jagung nasi merah nasi putih,sayur bayam snack sunny egg,ayam bumbu cabe ijo tumis bayam lauk telur,"['nasi putih', 'jagung', 'nasi merah']",3,ayam cabe ijo ayam jagung nasi merah nasi putih sayur bayam snack sunny egg ayam bumbu cabe ijo tumis bayam lauk telur,1.0
92,beef bulgogi,sapi,395,kentang nasi merah nasi putih,steamed vege tofu,daging sapi bumbu bulgogi korea lauk tahu,"['nasi putih', 'kentang', 'nasi merah']",3,beef bulgogi sapi kentang nasi merah nasi putih steamed vege tofu daging sapi bumbu bulgogi korea lauk tahu,0.6666666666666643
93,ayam sambel geprek,ayam,395,kentang nasi merah nasi putih,sayur sop snack,ayam geprek sambal pedas disajikan sayur sop,"['nasi putih', 'kentang', 'nasi merah']",3,ayam sambel geprek ayam kentang nasi merah nasi putih sayur sop snack ayam geprek sambal pedas disajikan sayur sop,0.6666666666666643
